id,detailStatus,name,nameEn,categoryType,endpoint,price,priceType,dailyFreeLimit,runCount,queueSize,concurrencyLimit,tags,paramCount,paramKeys,updatedAt,detailError
2046514150500524051,success,suno-custom-v4.5,suno-custom-v4.5,STANDARD_MODEL,/rhart-audio/suno-v4.5/custom,"{'skuId': '2046514150500524051', 'freeLimitCount': None, 'remainingFreeLimitCount': None, 'freeLimit': False, 'totalPrice': None, 'estimatedPrice': None, 'price': 0.72, 'currency': 'CNY', 'priceText': '仅需', 'priceTextEn': None, 'priceMode': 'FIXED', 'amount': 1.0, 'unitKey': 'CALL', 'unitName': '次', 'unitNameEn': 'call', 'supportThirdFreeLimit': False, 'priceFactorKey': None, 'outputVideoTieredBilling': None, 'tieredIncludedSeconds': None, 'tieredIncludedPrice': None, 'tieredOveragePerSecond': None, 'outputVideoTieredBlockBilling': None, 'tieredBlockSeconds': None, 'tieredBlockPrice': None, 'billingDiscountMultiplier': None, 'isAppFree': False, 'appCode': None, 'billingAdapterClassName': None, 'conditionRuleDetails': None, 'durationReplaced': False}",1,0,174,100,500,text-to-music|rh-ai|Suno,3,title|prompt|tags,2026-05-25 18:45:44,
2133000000000504043,success,seedance2.0-Mini/多模态视频,seedance-2.0-mini/multimodal-video,STANDARD_MODEL,/rhart-video/sparkvideo-2.0-mini/multimodal-video,,1,0,71,1000,1000,reference-to-video|bytedance|Seedance2.0,12,prompt|resolution|duration|imageUrls|videoUrls|audioUrls|generateAudio|ratio|realPersonMode|conversionSlots|returnLastFrame|seed,2026-06-23 09:42:41,
2133000000000504042,success,seedance2.0-Mini/图生视频,seedance-2.0-mini/image-to-video,STANDARD_MODEL,/rhart-video/sparkvideo-2.0-mini/image-to-video,,1,0,8,1000,1000,image-to-video|bytedance|Seedance2.0,11,prompt|resolution|duration|firstFrameUrl|lastFrameUrl|generateAudio|ratio|realPersonMode|conversionSlots|returnLastFrame|seed,2026-06-23 09:42:47,
2133000000000504041,success,seedance2.0-Mini/文生视频,seedance-2.0-mini/text-to-video,STANDARD_MODEL,/rhart-video/sparkvideo-2.0-mini/text-to-video,,1,0,18,1000,1000,text-to-video|bytedance|Seedance2.0,8,prompt|resolution|duration|generateAudio|ratio|webSearch|returnLastFrame|seed,2026-06-23 09:42:52,
2132764885651525660,success,火山字幕擦除-视频字幕擦除（精细化版）,volc-subtitle-erase/video(Refined version),STANDARD_MODEL,/volc-subtitle-erase-pro/video,"{'skuId': '2132764885651525660', 'freeLimitCount': None, 'remainingFreeLimitCount': None, 'freeLimit': False, 'totalPrice': None, 'estimatedPrice': None, 'price': 0.013, 'currency': 'CNY', 'priceText': '按视频时长计费，', 'priceTextEn': '4 CNY/min', 'priceMode': 'UNIT', 'amount': 1.0, 'unitKey': 'SECONDS', 'unitName': '秒', 'unitNameEn': 'seconds', 'supportThirdFreeLimit': False, 'priceFactorKey': None, 'outputVideoTieredBilling': None, 'tieredIncludedSeconds': None, 'tieredIncludedPrice': None, 'tieredOveragePerSecond': None, 'outputVideoTieredBlockBilling': None, 'tieredBlockSeconds': None, 'tieredBlockPrice': None, 'billingDiscountMultiplier': None, 'isAppFree': False, 'appCode': None, 'billingAdapterClassName': None, 'conditionRuleDetails': None, 'durationReplaced': False}",2,0,967,1000,100,video-tools|rh-ai|Seedance|最近上新,5,videoUrl|eraseType|encodeMode|clientToken|eraseRatioLocation,2026-06-08 17:11:59,
2065345589362483202,success,周星驰 fast,zhouxingchi fast,STANDARD_MODEL,/rhart-video/sparkvideo-2.0/multimodal-video-star-fast,,1,0,14,1000,600,image-to-video|rh-ai|Seedance,5,resolution|duration|ratio|templateId|imageUrl,2026-06-18 23:37:07,
2065339476332175362,success,周星驰,zhouxingchi,STANDARD_MODEL,/rhart-video/sparkvideo-2.0/multimodal-video-star,,1,0,38,1000,600,image-to-video|rh-ai|Seedance,5,resolution|duration|ratio|templateId|imageUrl,2026-06-18 23:37:15,
2064615278630940674,success,MiniMax Music 翻唱前处理,minimax/music-cover-preprocess,STANDARD_MODEL,/minimax/music-cover-preprocess,"{'skuId': '2064615278630940674', 'freeLimitCount': None, 'remainingFreeLimitCount': None, 'freeLimit': False, 'totalPrice': None, 'estimatedPrice': None, 'price': 0.8, 'currency': 'CNY', 'priceText': '仅需', 'priceTextEn': None, 'priceMode': 'FIXED', 'amount': 1.0, 'unitKey': 'CALL', 'unitName': '次', 'unitNameEn': 'call', 'supportThirdFreeLimit': False, 'priceFactorKey': None, 'outputVideoTieredBilling': None, 'tieredIncludedSeconds': None, 'tieredIncludedPrice': None, 'tieredOveragePerSecond': None, 'outputVideoTieredBlockBilling': None, 'tieredBlockSeconds': None, 'tieredBlockPrice': None, 'billingDiscountMultiplier': None, 'isAppFree': False, 'appCode': None, 'billingAdapterClassName': None, 'conditionRuleDetails': None, 'durationReplaced': False}",1,0,3,1000,100,text-to-audio|minimax|最近上新|Minmax Hailuo Audio,1,audioUrl,2026-06-12 19:16:05,
2061660305555243009,success,万相 2.2 角色动作迁移,Wan2.2 Character Motion Transfer,STANDARD_MODEL,/rhart-video/wan2.2/character-motion-transfer,"{'skuId': '2061660305555243009', 'freeLimitCount': None, 'remainingFreeLimitCount': None, 'freeLimit': False, 'totalPrice': None, 'estimatedPrice': None, 'price': 0.24, 'currency': 'CNY', 'priceText': '按输入视频时长计费，', 'priceTextEn': None, 'priceMode': 'UNIT', 'amount': 1.0, 'unitKey': 'SECONDS', 'unitName': '秒', 'unitNameEn': 'seconds', 'supportThirdFreeLimit': False, 'priceFactorKey': None, 'outputVideoTieredBilling': None, 'tieredIncludedSeconds': None, 'tieredIncludedPrice': None, 'tieredOveragePerSecond': None, 'outputVideoTieredBlockBilling': None, 'tieredBlockSeconds': None, 'tieredBlockPrice': None, 'billingDiscountMultiplier': None, 'isAppFree': False, 'appCode': None, 'billingAdapterClassName': None, 'conditionRuleDetails': None, 'durationReplaced': False}",1,0,150,1000,500,video-to-video|rh-ai|自部署开源模型|最近上新|Wan Video Models,2,299##image|275##video,2026-06-16 11:12:53,
2059467934809726978,success,火山字幕擦除-视频字幕擦除（标准版）,volc-subtitle-erase/video(Standard Version) ,STANDARD_MODEL,/volc-subtitle-erase/video,"{'skuId': '2059467934809726978', 'freeLimitCount': None, 'remainingFreeLimitCount': None, 'freeLimit': False, 'totalPrice': None, 'estimatedPrice': None, 'price': 0.005, 'currency': 'CNY', 'priceText': '按视频时长计费，', 'priceTextEn': '4 CNY/min', 'priceMode': 'UNIT', 'amount': 1.0, 'unitKey': 'SECONDS', 'unitName': '秒', 'unitNameEn': 'seconds', 'supportThirdFreeLimit': False, 'priceFactorKey': None, 'outputVideoTieredBilling': None, 'tieredIncludedSeconds': None, 'tieredIncludedPrice': None, 'tieredOveragePerSecond': None, 'outputVideoTieredBlockBilling': None, 'tieredBlockSeconds': None, 'tieredBlockPrice': None, 'billingDiscountMultiplier': None, 'isAppFree': False, 'appCode': None, 'billingAdapterClassName': None, 'conditionRuleDetails': None, 'durationReplaced': False}",2,0,3859,1000,100,video-tools|rh-ai|Seedance|最近上新,2,videoUrl|clientToken,2026-06-22 15:14:52,
